ID,Project,Package,Class,Method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_class,NOAM_class,NOCS_class,NOM_class,NMO_class,ATFD_class,FANOUT_class,NOMNAMM_class,NOA_class,NIM_class,DIT_class,LOC_class,LOCNAMM_class,CFNAMM_class,TCC_class,NOPA_class,CBO_class,RFC_class,NOC_class,WMC_class,LCOM5_class,WOC_class,WMCNAMM_class,AMW_class,AMWNAMM_class,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,is_long_parameter_list
7194,freemind,plugins.collaboration.jabber.view,SpringUtilities,"makeCompactGrid(javax.swing.Spring,javax.swing.Spring,javax.swing.Spring,javax.swing.SpringLayout,javax.swing.Spring,int,int,int,int,int,int,java.awt.Container,int,javax.swing.SpringLayout.Constraints,int,javax.swing.SpringLayout.Constraints,java.lang.ClassCastException))",7.0,1.0,0.0,0.0,8.0,3.0,50.0,8.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,186.0,186.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,1.0,17.0,4.25,4.25,2.0,33.0,0.0,730.0,33.0,true
533,freemind,freemind.modes.mindmapmode.actions,EditAction,"edit(boolean,freemind.view.mindmapview.EditNodeWYSIWYG,freemind.view.mindmapview.EditNodeDialog,freemind.view.mindmapview.EditNodeExternalApplication,java.lang.String,java.lang.String,freemind.view.mindmapview.EditNodeTextField,boolean,boolean,freemind.view.mindmapview.NodeView,java.awt.event.KeyEvent,boolean,freemind.view.mindmapview.NodeView,boolean,boolean,boolean,int,boolean,java.lang.String,freemind.view.mindmapview.MapView))",6.0,1.0,7.0,4.0,1.0,4.0,163.0,17.0,0.0,20.0,0.0,27.0,0.222222222222222,17.0,52.0,2.0,0.0,31.0,0.0,0.548387096774194,1.0,3.0,4.0,10.0,0.0,9.0,23.0,7.0,3.0,15.0,2.0,246.0,217.0,594.0,0.571428571428571,0.0,22.0,60.0,0.0,33.0,0.777777777777778,0.875,30.0,3.3,4.28571428571429,74.0,380.0,4.0,5031.0,435.0,false
5718,freemind,accessories.plugins.time,TableSorter.SortableHeaderRenderer,"getTableCellRendererComponent(javax.swing.JTable,java.lang.Object,boolean,int,int,boolean,javax.swing.JLabel,int,java.awt.Component))",6.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,9.0,0.0,10.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,24.0,24.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,3.0,1.5,1.5,62.0,136.0,0.0,4275.0,230.0,true
6045,freemind,freemind.controller.filter,FilterComposerDialog.CreateNotSatisfiedConditionAction,"CreateNotSatisfiedConditionAction())",0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,0.666666666666667,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,15.0,2.0,23.0,23.0,22.0,1.0,0.0,5.0,6.0,0.0,4.0,0.0,1.0,4.0,2.0,2.0,23.0,60.0,1.0,1234.0,72.0,false
6847,freemind,freemind.modes.viewmodes,ViewControllerAdapter,"extendSelection(boolean,java.lang.String,boolean,boolean,java.awt.event.MouseEvent,freemind.view.mindmapview.NodeView,boolean))",1.0,0.0,2.0,2.0,0.0,3.0,47.0,10.0,0.0,7.0,0.0,9.0,0.0,6.0,17.0,0.0,0.0,9.0,0.0,0.666666666666667,0.0,2.0,1.0,9.0,?,5.0,17.0,7.0,4.0,?,2.0,112.0,98.0,373.0,0.0,4.0,22.0,43.0,3.0,18.0,1.0,?,16.0,2.0,2.28571428571429,3.0,9.0,0.0,132.0,11.0,true
4006,freemind,freemind.view.mindmapview,RootMainView,"getCenterPoint(java.awt.Point))",0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,10.0,8.0,4.0,10.0,0.0,571.0,6.0,139.0,106.0,526.0,0.0,0.0,11.0,72.0,0.0,19.0,0.0,0.777777777777778,14.0,1.26666666666667,1.4,59.0,322.0,2.0,6298.0,410.0,false
7208,freemind,accessories.plugins.util.xslt,ExportDialog,"ExportDialog(java.io.File,freemind.modes.ModeController,java.awt.GridBagConstraints,javax.swing.JButton,java.lang.String,java.lang.String,javax.swing.JButton,javax.swing.JLabel,javax.swing.JLabel,javax.swing.JButton,javax.swing.JButton,java.awt.GridBagLayout))",2.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,12.0,0.0,18.0,1.0,5.0,12.0,6.0,0.0,6.0,0.0,0.833333333333333,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,6.0,534.0,6.0,153.0,153.0,36.0,1.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,0.0,267.0,7.0,true
7386,jasml,com.jasml.classes,Attribute_Code,"Attribute_Code(Attribute[],Opcode[],int,ExceptionTableItem[],int,int,int,int,int))",9.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,9.0,0.0,18.0,0.888888888888889,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,76.0,76.0,8.0,1.0,8.0,2.0,3.0,0.0,2.0,2.0,0.2,2.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,false
7405,jasml,com.jasml.classes,Method,"Method(int,int,int,Attribute[],int))",5.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,5.0,0.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,20.0,20.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.166666666666667,1.0,1.0,1.0,32.0,40.0,0.0,1690.0,42.0,true
7319,jasml,com.jasml.compiler,Scanner,"partialScanner(char[],int,int,int,com.jasml.compiler.Scanner,int))",5.0,1.0,0.0,0.0,4.0,1.0,11.0,1.0,0.0,6.0,0.0,13.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,32.0,0.0,2.0,1.0,24.0,11.0,0.0,1.0,590.0,550.0,72.0,0.191666666666667,0.0,3.0,34.0,0.0,174.0,0.777126099706745,0.578947368421053,166.0,5.4375,6.91666666666667,8.0,97.0,1.0,2639.0,106.0,false
7487,jasml,com.jasml.decompiler,SourceCodeBuilder,"getLocalVariableName(com.jasml.classes.Attribute_LocalVariableTable.LocalVariable,int,LocalVariable[],int,int))",3.0,0.0,4.0,1.0,0.0,3.0,26.0,8.0,0.0,5.0,0.0,10.0,0.2,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,173.0,4.0,31.0,2.0,0.0,1.0,828.0,828.0,1106.0,0.0,0.0,36.0,44.0,0.0,213.0,0.666666666666667,1.0,213.0,6.87096774193548,6.87096774193548,3.0,54.0,0.0,1422.0,54.0,true
7294,jasml,com.jasml.compiler,SourceCodeParser,"getOffset(java.util.Hashtable,boolean,java.lang.String,com.jasml.classes.Attribute_Code.Opcode))",3.0,0.0,3.0,2.0,0.0,2.0,11.0,3.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,29.0,0.0,106.0,25.0,29.0,4.0,0.0,1.0,1371.0,1371.0,4344.0,0.0,0.0,27.0,87.0,0.0,328.0,0.723214285714286,1.0,328.0,11.3103448275862,11.3103448275862,8.0,97.0,1.0,2639.0,106.0,false
5418,freemind,freemind.modes.mindmapmode.actions.xml,NodeHookUndoableContentActor,"performAction(java.lang.String,java.lang.String,freemind.modes.MindMapNode))",3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,8.0,8.0,2.0,0.0,1.0,72.0,67.0,168.0,0.0,0.0,9.0,23.0,0.0,15.0,1.0,0.857142857142857,14.0,1.66666666666667,1.75,7.0,47.0,3.0,439.0,53.0,true
523,freemind,freemind.modes.mindmapmode.actions,MoveNodeAction,"moveNodeTo(freemind.modes.MindMapNode,int,int,int))",4.0,1.0,1.0,1.0,1.0,2.0,13.0,4.0,0.0,4.0,0.0,6.0,0.5,3.0,14.0,1.0,0.0,8.0,0.0,0.375,1.0,0.0,0.0,7.0,1.0,6.0,5.0,7.0,1.0,28.0,5.0,69.0,69.0,154.0,0.166666666666667,0.0,15.0,48.0,0.0,12.0,0.833333333333333,1.0,12.0,1.71428571428571,1.71428571428571,74.0,380.0,4.0,5031.0,435.0,false
532,freemind,freemind.modes.mindmapmode.actions,EditAction,"edit(java.awt.event.KeyEvent,boolean,boolean,freemind.view.mindmapview.NodeView))",3.0,1.0,1.0,1.0,1.0,3.0,14.0,6.0,0.0,4.0,0.0,6.0,0.5,3.0,10.0,1.0,0.0,5.0,0.0,0.6,1.0,3.0,4.0,10.0,0.0,9.0,23.0,7.0,3.0,15.0,2.0,246.0,217.0,594.0,0.571428571428571,0.0,22.0,60.0,0.0,33.0,0.777777777777778,0.875,30.0,3.3,4.28571428571429,74.0,380.0,4.0,5031.0,435.0,true
6264,freemind,freemind.modes.mindmapmode.attributeactors,SetAttributeNameActor,"createAction(java.lang.String,freemind.modes.attributes.NodeAttributeTableModel,int,freemind.controller.actions.generated.instance.SetAttributeNameElementaryAction))",3.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,6.0,0.0,5.0,2.0,44.0,44.0,57.0,0.0,0.0,12.0,24.0,0.0,7.0,0.0,1.0,7.0,1.16666666666667,1.16666666666667,57.0,132.0,1.0,2362.0,136.0,false
7448,jasml,com.jasml.helper,Util,"getAccessFlag_Class(short,java.lang.String))",1.0,1.0,5.0,1.0,2.0,2.0,24.0,6.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,22.0,0.0,24.0,2.0,0.0,1.0,669.0,669.0,0.0,0.0,2.0,1.0,24.0,0.0,251.0,1.0,0.923076923076923,251.0,10.4583333333333,10.4583333333333,5.0,33.0,0.0,943.0,34.0,true
7507,jasml,com.jasml.decompiler,SourceCodeBuilder,"toString_Static(com.jasml.classes.JavaClass,com.jasml.decompiler.SourceCodeBuilder))",1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,173.0,4.0,31.0,2.0,0.0,1.0,828.0,828.0,1106.0,0.0,0.0,36.0,44.0,0.0,213.0,0.666666666666667,1.0,213.0,6.87096774193548,6.87096774193548,3.0,54.0,0.0,1422.0,54.0,false
7542,jasml,(defaultpackage),jasml,"error(java.lang.String))",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,8.0,9.0,0.0,1.0,204.0,204.0,90.0,1.0,8.0,7.0,18.0,0.0,49.0,0.857142857142857,0.111111111111111,49.0,6.125,6.125,1.0,8.0,0.0,204.0,8.0,true
7510,jasml,com.jasml.decompiler,JavaClassParser,"readMagic())",0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,44.0,31.0,21.0,17.0,0.0,1.0,569.0,569.0,764.0,1.0,0.0,35.0,53.0,0.0,91.0,0.911764705882353,1.0,91.0,4.33333333333333,4.33333333333333,3.0,54.0,0.0,1422.0,54.0,false
